column names
idDrink
strDrink
strTags
strVideo
strCategory
strIBA
strAlcoholic
strGlass
strInstructions
strInstructionsDE
strInstructionsIT
strDrinkThumb
strIngredient1
strIngredient2
strIngredient3
strIngredient4
strIngredient5
strIngredient6
strIngredient7
strIngredient8
strIngredient9
strIngredient10
strIngredient11
strIngredient12
strMeasure1
strMeasure2
strMeasure3
strMeasure4
strMeasure5
strMeasure6
strMeasure7
strMeasure8
strMeasure9
strMeasure10
strMeasure11
strMeasure12
strImageSource
strImageAttribution
strCreativeCommonsConfirmed
dateModified
total_ingredients
strMeasure1_clean
strMeasure2_clean
strMeasure3_clean
strMeasure4_clean
strMeasure5_clean
strMeasure6_clean
strMeasure7_clean
strMeasure8_clean
strMeasure9_clean
strMeasure10_clean
strMeasure11_clean
strMeasure12_clean
