column names
idDrink
strDrink
strTags
strVideo
strCategory
strIBA
strAlcoholic
strGlass
strInstructions
strInstructionsDE
strInstructionsIT
strDrinkThumb
strIngredient1
strIngredient2
strIngredient3
strIngredient4
strIngredient5
strIngredient6
strIngredient7
strIngredient8
strIngredient9
strIngredient10
strIngredient11
strIngredient12
strMeasure1
strMeasure2
strMeasure3
strMeasure4
strMeasure5
strMeasure6
strMeasure7
strMeasure8
strMeasure9
strMeasure10
strMeasure11
strMeasure12
strImageSource
strImageAttribution
strCreativeCommonsConfirmed
dateModified
NIngredients
