strdrink,num_ingredients,total_ounces,cost,ounces_alcohol,weighted_abv,oz_alc_per_dollar
Absolutely Cranberry Smash,4,9.0,0.5472441999731507,0.8,0.08888888888888889,1.4618702218118536
Absolutely Fabulous,3,5.5,0.8209336772935243,0.7200000000000001,0.13090909090909092,0.8770501441404073
Absolutly Screwed Up,4,5.5,1.5340792405921861,0.7499999999999999,0.13636363636363635,0.48889260747083996
Acapulco,6,4.42,3.8070190254061576,0.6375000000000001,0.14423076923076925,0.16745385188401768
Ace,5,5.35,2.2371165865384617,1.5,0.28037383177570097,0.6705059579934464
Adam,3,3.17,1.1327118644067797,0.8,0.2523659305993691,0.7062696393835104
Adam & Eve,4,4.69,4.154108090821874,1.5750000000000002,0.3358208955223881,0.3791427583407904
Adam Bomb,8,38.5,3.880950208438227,1.2750000000000001,0.03311688311688312,0.3285277912681817
Adam Sunrise,4,9.42,1.0065323355663711,0.2,0.021231422505307858,0.19870201178133132
Addington,3,5.5,2.4820610584717486,0.6749999999999999,0.12272727272727271,0.2719514081638306
Addison,2,4.5,1.988,1.4625,0.32499999999999996,0.7356639839034205
Addison Special,3,3.0,1.0245566999731508,0.6000000000000001,0.20000000000000004,0.5856191268045229
Adios Amigos Cocktail,7,5.26,5.434108090821875,1.3875000000000002,0.2637832699619772,0.2553316895450546
Adonis Cocktail,3,2.27,3.1895,0.4055,0.1786343612334802,0.1271359147201756
Affair,4,7.0,0.6197787583993581,0.0,0.0,0.0
Affinity,4,3.54,6.4475,1.3659999999999999,0.38587570621468925,0.21186506397828614
After Dinner Cocktail,4,4.0,2.0540000000000003,0.5,0.125,0.243427458617332
After Supper Cocktail,3,2.08,1.4967118644067796,0.5,0.24038461538461536,0.3340656354041628
After sex,3,2.02,1.4945566999731508,0.323,0.1599009900990099,0.21611759527477453
Afterglow,3,9.0,0.7354237288135593,0.0,0.0,0.0
Afternoon,5,4.53,3.2217578125,0.4688,0.10348785871964679,0.14551062720516023
Alabama Slammer,4,2.52,2.46071186440678,0.8,0.3174603174603175,0.32510917331349615
Alaska Cocktail,4,2.36,3.8655,0.8785000000000001,0.37224576271186444,0.2272668477557884
Alexander,4,4.0,2.7284640119609165,0.325,0.08125,0.11911463687088406
Alfie Cocktail,3,2.02,1.4993917405921862,0.5279999999999999,0.26138613861386134,0.35214279611241944
Algonquin,3,3.5,1.8727118644067795,0.7500000000000001,0.21428571428571433,0.4004887320119469
Alice Cocktail,4,2.71,0.7971815413135593,0.0,0.0,0.0
Alice in Wonderland,3,4.5,2.57,1.05,0.23333333333333334,0.40856031128404674
Allegheny,5,2.57,3.1267118644067797,0.6375000000000001,0.24805447470817124,0.20388831067455931
Allies Cocktail,3,2.08,2.988,0.662,0.31826923076923075,0.2215528781793842
Almeria,3,4.0,2.2956009615384616,0.9500000000000001,0.23750000000000002,0.41383498958082454
Almond Chocolate Coffee,3,9.25,2.45,0.1875,0.02027027027027027,0.07653061224489795
Almond Joy,3,3.0,2.0617578125,0.15,0.049999999999999996,0.07275345294708324
Aloha Fruit punch,7,71.08,2.0968417926812553,0.0,0.0,0.0
Amaretto And Cream,2,3.0,1.0617578125,0.22499999999999998,0.075,0.21191273315919207
Amaretto Liqueur,11,32.6,7.128616274622298,6.6,0.20245398773006132,0.9258458788833732
Amaretto Mist,2,2.5,1.33,0.22499999999999998,0.09,0.16917293233082703
Amaretto Rose,3,3.0,1.1230668939925785,0.22499999999999998,0.075,0.20034425482894416
Amaretto Shake,3,9.33,1.6628541666666667,1.0,0.10718113612004287,0.6013756467920368
Amaretto Sour,2,4.5,1.1105250653361844,0.22499999999999998,0.049999999999999996,0.20260686320653798
Amaretto Stinger,2,2.25,2.0,0.33749999999999997,0.15,0.16874999999999998
Amaretto Stone Sour,3,3.0,1.2132369297429642,0.15,0.049999999999999996,0.12363619695600507
Amaretto Stone Sour Alternative,4,6.2,1.872924238747124,1.1,0.1774193548387097,0.5873168691200426
Amaretto Sunrise,3,4.42,1.6327118644067797,0.051000000000000004,0.011538461538461539,0.031236374961071317
Amaretto Sunset,4,13.25,2.1207118644067795,0.7875,0.059433962264150944,0.3713375745272614
Amaretto Tea,3,8.5,1.1644696769067797,0.3,0.03529411764705882,0.2576280052194233
Amaretto fizz,4,8.5,1.720659657234208,0.9630000000000001,0.11329411764705884,0.5596690757240907
Americano,4,2.14,2.8449999999999998,0.32999999999999996,0.15420560747663548,0.11599297012302284
Angel Face,3,2.0,1.576,0.85,0.425,0.5393401015228426
Angelica Liqueur,12,22.88,10.716866047698517,4.800000000000001,0.20979020979020982,0.4478921336364764
Apello,4,3.7,0.638135593220339,0.0,0.0,0.0
Aperol Spritz,3,9.45,1.598596320000504,1.2168,0.12876190476190477,0.7611677724865628
Apple Berry Smoothie,2,10.0,0.66,0.0,0.0,0.0
Apple Cider Punch,8,154.47,4.284936026657225,0.0,0.0,0.0
Apple Grande,2,15.0,0.7623991734109397,1.2000000000000002,0.08000000000000002,1.5739786215025051
Apple Highball,4,4.07,3.866102425876011,0.6000000000000001,0.14742014742014742,0.15519506053025678
Apple Karate,2,18.5,0.43271186440677967,0.0,0.0,0.0
Apple Pie with A Crust,3,4.06,1.4814180638676961,0.4,0.09852216748768475,0.2700115583548896
Apple Slammer,2,2.0,0.4286875,0.0,0.0,0.0
Applecar,3,3.0,1.4967118644067798,0.5,0.16666666666666666,0.3340656354041628
Applejack,3,3.5,1.6805250653361843,0.47500000000000003,0.13571428571428573,0.2826497561968691
Apricot Lady,6,5.17,3.122312825945241,0.9755,0.18868471953578336,0.3124286560571264
Apricot punch,5,269.12,1.2496211772935244,15.6,0.0579667063020214,12.483783312465187
Aquamarine,3,4.0,1.2054237288135594,0.15,0.0375,0.12443757030371203
Archbishop,4,4.17,2.4059477928274284,1.1755,0.28189448441247,0.48858084265351936
Arctic Fish,5,7.01,1.0772441999731508,0.132,0.018830242510699004,0.12253489042065854
Arctic Mouthwash,3,14.0,0.4466875,0.0,0.0,0.0
Arise My Love,2,0.67,1.3263769773203735,0.08549999999999999,0.12761194029850745,0.06446131187585315
Arizona Antifreeze,3,0.99,1.506844835566371,0.1815,0.18333333333333332,0.12045035807006658
Arizona Stingers,2,15.0,0.4945566999731507,1.2000000000000002,0.08000000000000002,2.4264154141782885
Arizona Twister,9,6.45,2.6967136858840903,1.8000000000000003,0.2790697674418605,0.6674790910959791
Army special,4,7.54,2.197844835566371,1.137,0.15079575596816977,0.5173249638011875
Arthur Tompkins,4,2.9,2.2207118644067796,1.075,0.3706896551724138,0.4840790096319702
Artillery,3,1.79,3.7355,0.8035,0.4488826815642458,0.21509838040422968
Artillery Punch,8,118.5,3.075428772245463,22.925,0.19345991561181436,7.454245146852082
Atlantic Sun,5,4.09,1.62719986515217,0.544,0.1330073349633252,0.3343166452076415
Atomic Lokade,6,9.0,2.974532335566371,0.55,0.061111111111111116,0.18490301598798264
Auburn Headbanger,2,2.0,1.3010000000000002,0.35,0.175,0.26902382782475015
Autodafé,3,2.37,0.5766177584448994,0.54,0.22784810126582278,0.9364956109855946
Autumn Garibaldi,4,6.55,1.4523993644067796,0.27,0.04122137404580153,0.18589928267441735
Avalanche,3,4.0,1.6317578124999998,0.8250000000000001,0.20625000000000002,0.5055897349962896
Avalon,5,12.5,1.4039560643799305,1.4100000000000001,0.11280000000000001,1.004304932165195
Aviation,3,2.54,1.8907118644067797,0.8365,0.32933070866141734,0.44242595381526106
Aztec Punch,4,50.9,0.961219835566371,4.800000000000001,0.09430255402750493,4.993654752423767
B-52,3,0.91,2.907,0.1431,0.15725274725274727,0.049226006191950465
B-53,3,1.5,2.985,0.34,0.22666666666666668,0.11390284757118929
Baby Eskimo,3,15.33,1.123515625,0.3,0.019569471624266144,0.26701898338084973
Baby Guinness,2,3.0,1.907,0.46,0.15333333333333335,0.2412165705296277
Bacardi Cocktail,4,2.85,1.6627118644067798,0.7000000000000001,0.2456140350877193,0.4209989806320082
Bahama Mama,7,11.0,2.8504237288135594,1.7500000000000002,0.15909090909090912,0.6139438085327784
Bailey's Dream Shake,3,8.33,1.030515625,0.34,0.04081632653061225,0.32993192121662396
Balmoral,4,2.54,6.4475,1.2159999999999997,0.47874015748031484,0.18860023264831327
Banana Cantaloupe Smoothie,2,1.5,0.66,0.0,0.0,0.0
Banana Cream Pi,3,3.0,1.6027118644067797,0.55,0.18333333333333335,0.343168358714044
Banana Daiquiri,6,5.67,2.7927118644067797,0.675,0.11904761904761905,0.24170055228500337
Banana Milk Shake,4,5.5600000000000005,1.0244696769067798,0.0,0.0,0.0
Banana Strawberry Shake,5,27.77,1.313515625,0.0,0.0,0.0
Banana Strawberry Shake Daiquiri,3,27.6,0.7627118644067796,0.0,0.0,0.0
Barracuda,5,5.08,2.336958990342315,0.9473,0.1864763779527559,0.4053558508791978
Bee's Knees,4,6.39,1.7054237288135594,1.262,0.19749608763693272,0.7399920492943748
Belgian Blue,4,2.3600000000000003,2.426532335566371,0.374,0.1584745762711864,0.15412941114287915
Bellini,2,7.0,0.7203769773203736,0.72,0.10285714285714286,0.9994766943805229
Bellini Martini,5,39.0,1.2365566999731508,1.2000000000000002,0.030769230769230774,0.9704366973435635
Bermuda Highball,5,4.25,2.794061058471749,0.75,0.17647058823529413,0.26842648900816185
Berry Deadly,4,287.98,1.4023715216409878,34.21,0.1187929717341482,24.394391551797273
Between The Sheets,4,4.0,1.9967118644067798,0.9,0.225,0.4507410488430131
Bible Belt,4,6.5,2.0105250653361844,0.875,0.1346153846153846,0.4352096947638349
Big Red,2,1.0,0.4557578125,0.0,0.0,0.0
Bijou,4,3.02,4.7355,0.808,0.2675496688741722,0.17062612184563405
Black & Tan,2,2.0,0.2,0.1,0.05,0.5
Black Forest Shake,5,8.0,1.395602648066371,0.75,0.09375,0.5374022477236888
Black Russian,2,2.25,1.391844835566371,0.7125000000000001,0.3166666666666667,0.5119105102761464
Black and Brown,2,1.0,0.13468750000000002,0.025,0.025,0.18561484918793503
Blackthorn,3,2.57,2.318,0.9,0.3501945525291829,0.3882657463330457
Bleeding Surgeon,4,10.0,0.9673993644067796,0.6000000000000001,0.06000000000000001,0.6202195515891484
Blind Russian,5,3.75,3.3627578125,0.3525,0.094,0.10482467654664024
Bloody Maria,6,3.56,2.9525234367395523,0.4,0.11235955056179776,0.13547733271906448
Bloody Mary,6,5.6,2.6846809633017634,0.6000000000000001,0.10714285714285716,0.22349024267750914
Bloody Punch,7,83.0,1.5539316999731507,6.0,0.07228915662650602,3.8611735638726397
Blue Hurricane,6,18.0,3.133,2.7,0.15000000000000002,0.8617938078518992
Blue Lagoon,4,4.0,1.7565323355663711,0.55,0.1375,0.3131169229643926
Blue Margarita,4,3.51,2.641105372871856,0.7500000000000001,0.21367521367521372,0.2839720094864952
Blue Mountain,5,3.67,2.0972685643799305,0.8750000000000001,0.23841961852861038,0.4172093240041
Blueberry Mojito,5,6.02,1.4973993644067798,1.2000000000000002,0.19933554817275753,0.8013894145570181
Bluebird,6,3.61,5.1955,0.916,0.25373961218836566,0.17630641901645655
Bob Marley,3,1.5,2.301,0.25,0.16666666666666666,0.10864841373315949
Bobby Burns Cocktail,4,3.28,4.83,1.3065,0.39832317073170737,0.2704968944099379
Bombay Cassis,6,6.49,3.134105563867696,0.947,0.14591679506933744,0.3021595733461315
Boomerang,5,3.62,5.0655,1.103,0.30469613259668504,0.21774750764978776
Boozy Snickers Milkshake,7,56.0,2.7752734375,0.6,0.010714285714285714,0.2161949132264557
Bora Bora,4,6.09,0.8381355932203389,0.0,0.0,0.0
Boston Sidecar,4,2.75,2.224,0.675,0.24545454545454548,0.3035071942446043
Boston Sour,6,5.17,2.8856009615384615,0.8,0.15473887814313347,0.277238610141535
Boulevardier,4,4.25,3.085,0.83,0.1952941176470588,0.26904376012965964
Bounty Hunter,5,4.07,2.464247125935535,0.9450000000000001,0.2321867321867322,0.38348426586527395
